brand,category,description,important_info,name,price,store
Powerade,Sports & Energy Drinks,"Powerade zero is the great tasting electrolyte enhanced sports drink with zero calories. Formulated with the ion4 advanced electrolyte system, PowerAde zero helps replenish four key electrolytes lost in sweat: sodium, calcium and magnesium. It also contains vitamins b3, b6 and b12 to help the body metabolize energy from food.",,"POWERADE ZERO, Zero Calorie Electrolyte Enhanced Sports Drinks, Grape, 20 fl oz, 8 Pack",3.49,Amazon
Powerade,Sports & Energy Drinks,"Powerade zero is the great-tasting electrolyte-enhanced sports drink with zero calories. Formulated with the ion4 advanced electrolyte system, PowerAde zero helps replenish four key electrolytes lost in sweat: sodium, calcium and magnesium. It also contains vitamins b3, b6 and b12 to help the body metabolize energy from food.",,"POWERADE ZERO, Zero Calorie Electrolyte Enhanced Sports Drinks, Mixed Berry, 20 fl oz, 8 Pack",5.19,Amazon
Gatorade,Sports & Energy Drinks,Gatorade G Series Perform Frost Glacier Cherry Sports Drink 20 fl. oz. Bottle,"Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Glacier Cherry, 20 fl oz(pack of 8)",6.79,Amazon
Ensure Original,Sports & Energy Drinks,"From the #1 doctor recommended brand, Ensure Original Nutrition Shakes provide complete and balanced nutrition to help you stay healthy, active and energetic. Each shake has 9 grams of protein and 26 essential vitamins and minerals.",,"Ensure Original Nutrition Shake with 9 grams of protein, Meal Replacement Shakes, Milk Chocolate, 8 fl oz, 16 Count",23.99,Amazon
Powerade,Sports & Energy Drinks,"POWERADE Mountain Berry Blast (12 Ounce, Pack of 12)","Important information

Directions
Instructions: Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","POWERADE Mountain Berry Blast, 12 fl oz, 12 Pack",6.24,Amazon
Gatorade,Sports & Energy Drinks,"Our lightest way to help replace what you sweat out. G2 hydrates with the same electrolyte formula of Gatorade Thirst Quencher, but has less than half the carbs and calories of the original G.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Fruit Punch: Water, Sucrose, Citric Acid, Natural and Artificial Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Sucralose, Red 40, Acesulfame Potassium.Glacier Freeze: Water, Sucrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Sucralose, Acesulfame Potassium, Blue 1.Grape: Water, Sucrose, Citric Acid, Salt, Sodium Citrate, Natural and Artificial Flavor, Monopotassium Phosphate, Sucralose, Acesulfame Potassium, Red 40, Blue 1.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade G2 Thirst Quencher Variety Pack, 20 Ounce Bottles (Pack of 12)",9.99,Amazon
Manitoba Harvest,Sports & Energy Drinks,"Size:7 Ounce (Pack of 1)


These versatile seeds will add nutrition and a rich nutty taste to any meal! Sprinkle Hemp Hearts on salad, cereal, or yogurt, or blend them into smoothies. Shelling the hemp seed produces the most nutritious and tender part of the seed, the heart. Hemp Hearts taste great, are easy to use, and nutritious too! There’s no need to grind or cook Hemp Hearts, they’re ready to eat straight from the bag and are simple to incorporate into your diet. Try sprinkling them on salads, cereal, or yogurt or blend them into smoothies. The only limit is your imagination. Hemp Hearts may look little, but they contain 10 grams of Plant Based Protein and 10 grams Omega-3 and Omega-6 per 30 gram serving (more than a comparable serving of flax or chia). Manitoba Harvest is the world’s largest hemp food manufacturer to grow, make and sell our own line of hemp foods. Our producer partners deliver whole seed directly to our state-of-the-art, BRC (the highest level of food safety and quality certification in the world) certified facility. Hemp Hearts, as with all Manitoba Harvest products, is Non-GMO Project Verified.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Organic Raw Shelled Hemp Seed.


Directions
Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Manitoba Harvest Organic Hemp Hearts Raw Shelled Hemp Seeds, 7oz; with 10g Protein & 12g Omegasper Serving, Non-Gmo, Gluten Free",$11.49,Whole Foods Market
Red Bull,Sports & Energy Drinks,"RED BULL GIVES YOU WINGS.  Red Bull Energy Drink is a carbonated beverage that Vitalizes Body and Mind.  WHEN TO DRINKRed Bull is one of the best energy drinks to have by your side, and is appreciated throughout the world by top athletes and busy professionals to college students and travelers on long journeys. For those who have to stay on their game during intense meetings or creative brainstorming sessions, in action with teammates or competitors, or simply want to get the most out of life, a chilled can of Red Bull Energy Drink Gives You Wings. WHAT'S INSIDE THE CANCaffeine was well known for its stimulating effects by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts. One 8.4 fl oz can of Red Bull Energy Drink contains 80 mg of caffeine. Taurine is an amino acid, naturally occurring in the human body and present in commonly consumed foods. It is involved in a wide range of biological processes. B-Group Vitamins are essential micronutrients that are required for maintaining normal body functionsSucrose and Glucose are different types of sugars which are also contained in commonly consumed foods.Alpine Spring Water Naturally, water is a key ingredient of Red Bull. WHAT YOU ADD TO YOUR PRIME PANTRY BOX The original Red Bull Energy Drink pack of 4, 8.4-Fluid ounce per can","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Red Bull Energy Drink, 4pk, 8.4 oz Cans",7.79,Amazon
Monster Energy,Sports & Energy Drinks,Monster Energy Zero Ultra,"Important information

Ingredients
Ingredients: CARBONATED WATER, CITRIC ACID, ERYTHRITOL, TAURINE, SODIUM CITRATE, NATURAL & ARTIFICIAL FLAVORS, PANAX GINSENG EXTRACT, L-CARNITINE L-TARTRATE, SUCRALOSE, CAFFEINE, SORBIC ACID (PRESERVATIVE), BENZOIC ACID (PRESERVATIVE), NIACINAMIDE (VIT. B3), ACESULFAME POTASSIUM, D-CALCIUM PANTOTHENATE (VIT. B5), SALT, GUARANA EXTRACT, D-GLUCURONOLACTONE, INOSITOL, PYRIDOXINE HYDROCHLORIDE (VIT. B6), CYANOCOBALAMIN (VIT. B12).


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Zero Ultra, 16 Fl Oz, Pack of 4",7.99,Amazon
Gatorade,Sports & Energy Drinks,Gatorade: Rapidly Replace What Athletes Lose During ActivityGatorade is scientifically formulated to rapidly replace what athletes lose during activity so they can perform at their best. Its proprietary formula of electrolytes carbohydrates and flavor. Delays fatigue and maintains strength.,"Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade G2, Grape, 8 Pack, 20 oz each",6.79,Amazon
Manitoba Harvest,Sports & Energy Drinks,"These versatile seeds will add nutrition and a rich nutty taste to any meal! Sprinkle Hemp Hearts on salad, cereal, or yogurt, or blend them into smoothies. Shelling the hemp seed produces the most nutritious and tender part of the seed, the heart. Hemp Hearts taste great, are easy to use, and nutritious too! There’s no need to grind or cook Hemp Hearts, they’re ready to eat straight from the bag and are simple to incorporate into your diet. Try sprinkling them on salads, cereal, or yogurt or blend them into smoothies. The only limit is your imagination. Hemp Hearts may look little, but they contain 10 grams of Plant Based Protein and 10 grams of Omega-3 and Omega-6 per 30 gram serving (more than a comparable serving of flax or chia). Manitoba Harvest is the world’s largest hemp food manufacturer to grow, make and sell our own line of hemp foods. Our producer partners deliver whole seed directly to our state-of-the-art, BRC (the highest level of food safety and quality certification in the world) certified facility. Hemp Hearts, as with all Manitoba Harvest products, is Non-GMO Project Verified.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Shelled Hemp Seed


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Manitoba Harvest Hemp Hearts Raw Shelled Hemp Seeds, 1lb; with 10g Protein & 12g Omegas per Serving, Non-GMO, Gluten Free - Packaging May Vary",$18.99,Whole Foods Market
Powerade,Sports & Energy Drinks,"Powerade Zero Ion4 Sport Pack Fruit Punch.Advanced electrolyte system.Zero calorie sports drink.Flavored + other natural flavors.0 Calories.0g sat fat, 0 percent DV.250mg sodium, 10 percent DV.0g sugars.",,"POWERADE ZERO, Zero Calorie Electrolyte Enhanced Sports Drinks, Fruit Punch, 20 fl oz, 8 Pack",5.99,Amazon
Monster Energy,Sports & Energy Drinks,"Pack of 4, 16 fluid ounce Cans","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Ultra Sunrise, 16 fl oz, 4 Pack",7.99,Amazon
Gatorade,Sports & Energy Drinks,"Electrolytes. 160 mg Sodium and 45 mg Potassium per 12 ounce bottle: You lose a lot more than water when you sweat, including critical electrolytes like sodium and potassium that help regulate your body's fluid balance.",,"Gatorade Thirst Quencher G2, Grape, 12 Ounce (Pack of 6)",4.58,Amazon
Nutiva,Sports & Energy Drinks,"Nutiva hemp protein is an organic food with hi-fiber that will give you the high quality protein that is vital for good health, while remaining easy to digest so you can take it every day. This hemp protein is vegan, Non-GMO and USDA organic so you can feel good about eating it. Includes one 16 ounce canister.",,"Nutiva, Hemp Protein Powder Organic, 16 Ounce",$15.99,Whole Foods Market
Gatorade,Sports & Energy Drinks,"With a legacy over 40 years in the making, it’s the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher hydrates better than water, which is why it’s trusted by some of the world’s best athletes. Whether you play soccer, baseball, volleyball, or any other sport, Gatorade will help you stay hydrated and bring the energy needed to compete. It’s also great to store in your cooler or sports bottle when going camping, hitting the beach, tailgating at the big game, having a picnic, or enjoying the great outdoors. Beat the heat and stay hydrated with Gatorade Thirst Quencher.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Fruit Punch: Water, Sucrose, Dextrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Modified Food Starch, Red 40, Glycerol Ester of Rosin, Caramel Color.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Original Thirst Quencher Variety Pack, 20 Ounce Bottles (Pack of 12)",7.46,Amazon
Powerade,Sports & Energy Drinks,"The ION4 Advanced Electrolyte System helps replenish four electrolytes lost in sweat. Powerade is formulated with a 6% carbohydrate solution to help provide energy to working muscles, and vitamins B3, B6 and B12.Powerade",,"POWERADE, Electrolyte Enhanced Sports Drinks w/ vitamins, Mountain Berry Blast, 20 fl oz, 8 Pack",5.99,Amazon
Red Bull,Sports & Energy Drinks,"Red Bull Gives You Wings  In 1987, Red Bull not only launched a completely new product, it created a whole new product category — energy drinks. From day one, RedBull has been giving wings to people and ideas, setting many milestones in sports and culture.  When To Drink  Red Bull is one of the best energy drinks to have by your side. Red Bulls is appeciated worldwide by top athletes, busy professionals, college students and travelers on long journeys.  Red Bull was the first global energy drink brand to address the consumer request for sugar free energy drinks and launched its Red Bull sugar free varieties.  What's Inside The Can  Caffeine: Caffeine has already been known for its stimulating effects on the human body by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts.  Taurine: Taurine is an amino acid, naturally occurring in the human body and present in the daily diet. It is involved in a wide range of biological processes.  B-group vitamins: Vitamins are essential micronutrients that are required for maintaining normal body functions. B-group vitamins play an important role in energy metabolism, such as the build-up and break-down of carbohydrates and protein.   24 Red Bull Sugarfree  You add to your basket a 24 pack of Red Bull Sugarfree, 8.4 Fl oz per can.  Sustainability  Red Bull is very aware of its environmental responsibility and is constantly striving for improvement. Red Bull has made a conscious decision to use 100% recyclable aluminium cans, and we developed our Red Bull Coolers which use up to 45% less energy than conventional fridges.","Important information

Safety Warning
Not recommended for children, pregnant or nursing women and persons sensitive to caffeine. Phenylketonurics: Contains Phenylalanine.


Ingredients
Carbonated Water, Citric Acid, Taurine, Sodium Citrate, Magnesium Carbonate, Caffeine, Acesulfame K, Aspartame, Inositol, Niacinamide, Calcium Pantothenate, Pyridoxine HCI, Vitamin B12, Xanthan Gum, Natural and Artificial Flavors, Colors


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Red Bull Energy Drink Sugar Free 24 Pack 8.4 Fl Oz, Sugarfree",47.12,Amazon
Gatorade,Sports & Energy Drinks,"With a legacy over 40 years in the making, it’s the most scientifically researched and game tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher hydrates better than water, which is why it’s trusted by some of the world’s best athletes. Whether you play soccer, baseball, volleyball, or any other sport, Gatorade will help you stay hydrated and bring the energy needed to compete. It’s also great to store in your cooler or sports bottle when going camping, hitting the beach, tailgating at the big game, having a picnic, or enjoying the great outdoors. Beat the heat and stay hydrated with Gatorade Thirst Quencher.","Important information

Ingredients
Water, Sugar, Dextrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Gum Arabic, Glycerol Ester Of Rosin, Yellow 5.


Directions
Shake well. Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Thirst Quencher, Lemon Lime, 32 oz",1.19,Amazon
Optimum Nutrition,Sports & Energy Drinks,"ON Protein Water is a refreshing way to drink your daily protein needs while supporting muscle recovery and hydration.  20g of fast-acting 100% whey protein isolate with 0 fat and 0 sugar in every ""chuggable"" bottle, from the world leader in sports nutrition.",,"OPTIMUM NUTRITION Protein Water RTD Bottles, Fruit Punch, 16 Ounce (Pack of 12)",35.88,Amazon
Powerade,Sports & Energy Drinks,"Powerade zero is the great tasting electrolyte-enhanced sports drink with zero calories. Formulated with the ion4 advanced electrolyte system. PowerAde zero helps relish four key electrolytes lost in sweat: sodium, potassium, calcium and magnesium. It also contains vitamins b3, b6 and b12 to help the body metabolize energy from food.",,"POWERADE ZERO, Zero Calorie Electrolyte Enhanced Sports Drinks, Mixed Berry, 12 fl oz, 12 Pack",6.46,Amazon
Red Bull,Sports & Energy Drinks,"RED BULL GIVES YOU WINGS  In 1987, Red Bull not only launched a completely new product, it created a whole new product category — energy drinks. From day one, Red Bull has been giving wings to people and ideas, setting many milestones in sports and culture.  When To Drink Red Bull is appreciated worldwide by a variety of people such as top athletes, busy professionals, college students and travelers on long journeys. For those who wish to have Red Bull’s benefits without sugars: The sugar free variant Red Bull Sugarfree provides the wings of Red Bull Energy Drinks without sugars. Red Bull was the first global energy drink brand to address the consumer need for sugar free energy drinks and launched its Red Bull sugar free variants.  What's Inside The Can Caffeine: Caffeine has already been known for its stimulating effects on the human body by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts. Taurine: Taurine is an amino acid, naturally occurring in the human body and present in the daily diet. It is involved in a wide range of biological processes. B-group vitamins: Vitamins are essential micronutrients that are required for maintaining normal body functions. B-group vitamins play an important role in energy metabolism, such as the build-up and breakdown of carbohydrates and protein. Sugars: Sugars are well known carbohydrates and can be found in many foodstuffs from fruits and fruit juices to other beverages including energy drinks.  4 Red Bull The Red Edition  You add to your basket a 4 pack of Red Bull Cranberry, 8.4 Fl Oz per can.  Sustainability Red Bull is very aware of its environmental responsibility and is constantly striving for improvement. Red Bull has made a conscious decision to use 100% recyclable aluminium cans, and we developed our Red Bull Coolers which use up to 45% less energy than conventional fridges.  MEET THE OTHER RED BULL EDITIONS Red Bull The Orange Edition – the taste of Tangerine Red Bull The Blue Edition – the taste of Blueberry Red Bull The Green Edition – the taste of Kiwi Apple  Red Bull The Yellow Edition – the taste of Tropical Red Bull The Summer Edition - the taste of Coconut Berry",,"Red Bull Energy Drink, Cranberry, 4 Pack of 8.4 Fl Oz, Red Edition",7.79,Amazon
Powerade,Sports & Energy Drinks,NaN,,"POWERADE, Electrolyte Enhanced Sports Drinks w/ vitamins, Grape, 20 fl oz, 8 Pack",3.98,Amazon
Gatorade,Sports & Energy Drinks,Gatorade: Rapidly Replace What Athletes Lose During ActivityGatorade is scientifically formulated to rapidly replace what athletes lose during activity so they can perform at their best. Its proprietary formula of electrolytes carbohydrates and flavor. Delays fatigue and maintains strength.,"Important information

Ingredients
Water, Sugar, Dextrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Gum Arabic, Glycerol Ester Of Rosin, Yellow 5.


Directions
Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Lemon Lime 6 ct, 12 oz",4.99,Amazon
Optimum Nutrition,Sports & Energy Drinks,"ON Protein Water is a refreshing way to drink your daily protein needs while supporting muscle recovery and hydration.  20g of fast-acting 100% whey protein isolate with 0 fat and 0 sugar in every ""chuggable"" bottle, from the world leader in sports nutrition.",,"OPTIMUM NUTRITION Protein Water, Icy Blue Raspberry, 12 Count",31.40,Amazon
Powerade,Sports & Energy Drinks,"Powerade Ion4 Sport Pack Fruit Punch.Advance electrolyte system.Sports drink with Vitamins B3, B6 & B12.Flavored + other natural flavors.Per bottle:130 Calories.0g sat fat, 0% DV.250mg sodium, 10% DV.34g sugars.",,"POWERADE, Electrolyte Enhanced Sports Drinks w/ Vitamins, Fruit Punch, 20 fl oz, 8 Pack",5.99,Amazon
Powerade,Sports & Energy Drinks,Powerade Zero™ Ion4® Grape Zero Calorie Sports Drink.Advanced electrolyte system.Flavored + other natural flavors.0 calories per 12 fl oz serving.32 fl oz (1 qt) 946 ml.,"Important information

Ingredients
Water, Less Than 1% Of: Citric Acid, Salt And Mono-Potassium Phosphate And Magnesium Chloride And Calcium Chloride (Electrolyte Sources), Natural And Artificial Flavors, Sucralose, Acesulfame Potassium, Vitamin B3 (Niacinamide), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12, Red 40, Blue 1, Ascorbic Acid (To Protect Taste), Calcium Disodium Edta (To Protect Color).


Directions
Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","POWERADE ZERO, Zero Calorie Electrolyte Enhanced Sports Drink, Grape, 32 fl oz",0.99,Amazon
